"year","month","sti1","ts","time","sti2","sti3","sti4","sti5","sti6","sti7","sti8","sti9","sti10","sti11","sti12"
1880,1,-1.12031,1880.04,"1880-1-15 00:00:00",-0.750824548339371,-0.398173523842826,-0.178843384738025,-0.0706191295973926,-0.0250990062415823,-0.0081609167135199,-0.00245662970301225,-0.000690887808105161,-0.0001828341258488,-4.57940350901683e-05,-1.0907954800428e-05
1880,2,-1.71373,1880.12,"1880-2-15 00:00:00",-1.89935535965555,-1.00725664638495,-0.452418800227574,-0.178644694811431,-0.0634927722227722,-0.0206446112261641,-0.0062145181632984,-0.00174773382696071,-0.000462514148780725,-0.000115844835096483,-2.75937733507733e-05
1880,3,-1.1116,1880.21,"1880-3-15 00:00:00",-1.89351797373912,-2.09243209494144,-0.939835563605985,-0.371108887050817,-0.131897183178239,-0.0428862368615288,-0.012909775583166,-0.00363066788000105,-0.000960807211098258,-0.000240651130830503,-5.7322130548277e-05
1880,4,-2.12459,1880.29,"1880-4-15 00:00:00",-2.16887370021725,-2.62501684780987,-2.72650092065598,-1.07660186674088,-0.382639054418849,-0.12441470488496,-0.0374517802645323,-0.0105327141265416,-0.00278734051686786,-0.000698138648051148,-0.000166293815392755
1880,5,-0.693614,1880.38,"1880-5-15 00:00:00",-1.88874217442334,-2.08403402652782,-2.53484639737758,-2.67081042283018,-0.949242618181078,-0.308645285527886,-0.0929095593962345,-0.0261293274133146,-0.00691477354294736,-0.00173192712682186,-0.000412538069200717
1880,6,-0.680451,1880.46,"1880-6-15 00:00:00",-0.920889515414428,-1.85538924258861,-2.07073941217365,-2.49712516312052,-2.64580444044553,-0.860280660951614,-0.258964905391029,-0.0728297372788365,-0.0192734061810902,-0.00482736488533768,-0.00114985888163722
1880,7,-0.883889,1880.54,"1880-7-15 00:00:00",-1.04841059523633,-1.19742688600617,-1.96846087393976,-2.1694493633694,-2.56177717774106,-2.70790067720961,-0.815142400046735,-0.229245761121965,-0.0606667940113621,-0.0151950697434997,-0.00361940444044929
1880,8,-0.493079,1880.62,"1880-8-15 00:00:00",-0.922835087322051,-1.09108016654898,-1.23565235703672,-1.92521659668534,-2.1279410876836,-2.50395714646307,-2.65540961445937,-0.746791478547086,-0.197628277080129,-0.0494994914838887,-0.0117905795959515
1880,9,-1.52364,1880.71,"1880-9-15 00:00:00",-1.35159208817419,-1.53823594500357,-1.60846634483757,-1.68792201632545,-2.27438574921853,-2.44214957355993,-2.77682152109903,-2.90933849328894,-0.769917132678339,-0.192839340176302,-0.0459335544955954
1880,10,-1.55139,1880.79,"1880-10-15 00:00:00",-2.06086530592427,-1.89222174092147,-1.99965679154803,-2.02662839116993,-2.07066261556204,-2.58514685109727,-2.72795332650929,-3.03057284780024,-3.14819324639918,-0.788520585678075,-0.187822429075049
1880,11,-1.26368,1880.88,"1880-11-15 00:00:00",-1.88664178780312,-2.30088301381864,-2.17024349273676,-2.25692555534119,-2.27327188267827,-2.30522282780281,-2.7737330174863,-2.90400348423011,-3.18613418024607,-3.29614760127463,-0.78512908896211
