"year","month","tis99.land","tia30.land","tia10.land","til30.land","til10.land","tis99.ocean","tia30.ocean","tia10.ocean","til30.ocean","til10.ocean","ts","time"
1910,1,-0.390837,0.796011,0.567185,0.378082,1.30336,-1.76291,-1.75717,-1.05175,-1.06094,-0.0168768,1910.04,"1910-1-15 00:00:00"
1910,2,-0.440218,0.608862,0.182228,0.130991,1.04639,-1.86962,-1.896,-1.1688,-1.23907,-0.229331,1910.12,"1910-2-15 00:00:00"
1910,3,-0.707711,0.258071,-0.202116,0.00148636,1.86934,-2.02411,-2.12546,-1.39344,-1.55397,-0.742011,1910.21,"1910-3-15 00:00:00"
1910,4,-0.466814,0.647621,0.380717,0.0438196,1.26417,-1.71379,-1.72852,-0.981264,-0.935953,0.0372015,1910.29,"1910-4-15 00:00:00"
1910,5,-0.617616,0.452516,0.172598,-0.0932117,1.02983,-1.37538,-1.09036,-0.105133,0.154206,1.34291,1910.38,"1910-5-15 00:00:00"
1910,6,-0.720625,0.155757,-0.232945,-0.728671,0.549574,-1.39417,-1.29561,-0.37637,-0.276207,0.942931,1910.46,"1910-6-15 00:00:00"
1910,7,-0.305417,0.841337,0.783978,0.393563,1.26819,-1.60494,-1.54898,-0.731066,-0.769122,0.413298,1910.54,"1910-7-15 00:00:00"
1910,8,-0.369123,0.958407,0.659839,0.37148,1.11698,-1.64458,-1.60701,-0.783317,-0.8581,0.0730187,1910.62,"1910-8-15 00:00:00"
1910,9,-0.713298,0.144723,-0.193525,-1.18344,-0.447966,-1.58296,-1.41571,-0.484893,-0.5254,0.758279,1910.71,"1910-9-15 00:00:00"
1910,10,-0.770104,0.157874,-0.0991348,-1.03821,-0.119409,-1.74506,-1.6875,-0.930318,-0.955888,0.435778,1910.79,"1910-10-15 00:00:00"
1910,11,-1.40806,-0.568009,-1.03684,-1.74374,-1.09467,-1.83767,-1.80585,-0.999924,-1.09843,0.508298,1910.88,"1910-11-15 00:00:00"
1910,12,-1.50612,-1.07947,-1.3012,-1.64331,-1.30263,-1.9255,-1.86963,-1.13974,-1.16232,0.050898,1910.96,"1910-12-15 00:00:00"
1911,1,-1.1574,-0.0863597,-0.806692,-0.655618,-0.231072,-1.79789,-1.66102,-0.983761,-0.881927,0.14746,1911.04,"1911-1-15 00:00:00"
1911,2,-1.02134,-0.135436,-0.533484,-0.65154,0.024909,-1.94054,-1.82752,-1.14248,-1.12223,-0.184745,1911.12,"1911-2-15 00:00:00"
1911,3,-1.294,-0.639186,-1.43334,-0.952751,-0.134505,-1.88656,-1.7652,-0.980772,-1.02237,-0.122952,1911.21,"1911-3-15 00:00:00"
